order,event_id,role,token,candidate_id,segment_order,layer,segment_id,traversal_forward,source_fraction,traversal_fraction,global_position,panel_x,panel_y,order_basis,review_id
42,E18,U,E18U,XING_R_S07_G_S02,17,green,2,False,0.0,1.0,17.0,103.99955070095342,118.87735528308144,derived_arc_order,
43,E29,U,E29U,XING_R_S07_G_S01,18,green,1,False,1.0,0.0,17.0,100.51115,122.939,derived_arc_order,
44,E27,O,E27O,XING_G_S09_B_S01,19,blue,1,True,0.6084451268782964,0.6084451268782964,18.608445126878298,95.9055934775306,24.136538082431464,manual_close_order_confirmation,ORDER_B_S01_E27O_E12O
45,E12,O,E12O,XING_G_S08_B_S01,19,blue,1,True,0.6127233094779044,0.6127233094779044,18.612723309477904,96.71128428649106,27.261438365716348,manual_close_order_confirmation,ORDER_B_S01_E27O_E12O
46,E15,O,E15O,XING_R_S02_B_S01,19,blue,1,True,0.7430771162982929,0.7430771162982929,18.74307711629829,112.42276481350648,28.44764145012875,derived_arc_order,
47,E24,O,E24O,XING_R_S01_B_S01,19,blue,1,True,0.8302151189172161,0.8302151189172161,18.830215118917216,123.5234793429986,27.69564288250742,derived_arc_order,
48,E11,U,E11U,XING_G_S08_B_S02,20,blue,2,False,1.0,0.0,19.0,117.44560833304901,46.08274722208007,derived_arc_order,
49,E14,U,E14U,XING_R_S03_B_S02,20,blue,2,False,0.0,1.0,20.0,113.3078240736927,50.1635830225315,derived_arc_order,
50,E06,O,E06O,XING_G_S07_B_S03,21,blue,3,True,0.49647310604143996,0.49647310604143996,20.49647310604144,113.30445419320641,64.05005950654272,derived_arc_order,
51,E09,O,E09O,XING_R_S03_B_S03,21,blue,3,True,0.6031065412852203,0.6031065412852203,20.60310654128522,115.75216799998873,66.14348314315419,derived_arc_order,
52,E03,O,E03O,XING_R_S04_B_S03,21,blue,3,True,0.7751363938547573,0.7751363938547573,20.77513639385476,115.48578722902423,70.90643914064754,derived_arc_order,
53,E17,U,E17U,XING_G_S06_B_S03,21,blue,3,True,1.0000000000000002,1.0000000000000002,21.0,114.94455304022993,77.37674671991354,derived_arc_order,
54,E23,U,E23U,XING_G_S06_B_S04,22,blue,4,True,0.0,0.0,21.0,113.45081257128193,81.0805665715301,derived_arc_order,
55,E02,O,E02O,XING_G_S05_B_S04,22,blue,4,True,0.3049325747791034,0.3049325747791034,21.3049325747791,112.01880658721237,93.78885019355623,derived_arc_order,
56,E19,O,E19O,XING_R_S05_B_S04,22,blue,4,True,0.4831392918938935,0.4831392918938935,21.48313929189389,116.72104257786489,99.91696138046386,derived_arc_order,
57,E20,O,E20O,XING_R_S06_B_S04,22,blue,4,True,0.5707097842411272,0.5707097842411272,21.570709784241128,115.86281758209637,104.9007795108561,derived_arc_order,
58,E01,O,E01O,XING_G_S03_B_S04,22,blue,4,True,0.8870059810794425,0.8870059810794425,21.887005981079444,121.43887000937437,116.59685944985601,manual_close_order_confirmation,ORDER_B_S04_E01O_E16O
59,E16,O,E16O,XING_G_S04_B_S04,22,blue,4,True,0.9042075571765633,0.9042075571765633,21.904207557176562,123.52465,117.83695,manual_close_order_confirmation,ORDER_B_S04_E01O_E16O
60,E30,U,E30U,XING_G_S04_B_S05,23,blue,5,True,0.0,0.0,22.0,113.94847055620056,121.82339093488278,derived_arc_order,
61,E08,U,E08U,XING_R_S07_B_S05,23,blue,5,True,1.0,1.0,23.0,107.07874558877319,126.35847647024956,derived_arc_order,
62,E31,U,E31U,XING_R_S07_B_S06,24,blue,6,True,0.0,0.0,23.0,103.225,127.28115,derived_arc_order,
