panel_id,asset_id,layer,layer_label,segment_id,point_index,panel_x,panel_y,source_x,source_y,closed_layer,connected_layer
A10_P03,A10,green,Green centreline,0,3,54.05,95.8005,439.05,450.8005,False,True
A10_P03,A10,green,Green centreline,0,4,55.5698,102.965,440.5698,457.96500000000003,False,True
A10_P03,A10,green,Green centreline,0,5,57.3067,107.9585,442.3067,462.9585,False,True
A10_P03,A10,green,Green centreline,0,6,60.3462,112.7349,445.3462,467.7349,False,True
A10_P03,A10,green,Green centreline,0,7,62.9515,116.6429,447.9515,471.6429,False,True
A10_P03,A10,green,Green centreline,0,8,66.2081,120.3337,451.2081,475.3337,False,True
A10_P03,A10,green,Green centreline,0,9,70.5503,123.8074,455.5503,478.80740000000003,False,True
A10_P03,A10,green,Green centreline,0,10,74.8924,127.064,459.8924,482.06399999999996,False,True
A10_P03,A10,green,Green centreline,0,11,79.8859,128.8009,464.8859,483.8009,False,True
A10_P03,A10,green,Green centreline,0,12,85.7478,129.4522,470.7478,484.4522,False,True
A10_P03,A10,green,Green centreline,0,13,90.9584,127.7154,475.9584,482.7154,False,True
A10_P03,A10,green,Green centreline,0,14,95.9519,125.5443,480.9519,480.5443,False,True
A10_P03,A10,green,Green centreline,0,15,98.7743,124.0245,483.7743,479.0245,False,True
A10_P03,A10,green,Green centreline,1,0,105.2876,119.6824,490.2876,474.68240000000003,False,True
A10_P03,A10,green,Green centreline,1,1,107.0244,118.8139,492.0244,473.8139,False,True
A10_P03,A10,green,Green centreline,1,2,109.1955,117.7284,494.1955,472.72839999999997,False,True
A10_P03,A10,green,Green centreline,2,0,120.7022,116.6429,505.7022,471.6429,False,True
A10_P03,A10,green,Green centreline,2,1,118.314,115.9915,503.31399999999996,470.9915,False,True
A10_P03,A10,green,Green centreline,2,2,115.9259,116.4257,500.9259,471.4257,False,True
A10_P03,A10,green,Green centreline,3,0,124.8273,118.3797,509.8273,473.3797,False,True
A10_P03,A10,green,Green centreline,3,1,126.7813,119.4653,511.7813,474.4653,False,True
A10_P03,A10,green,Green centreline,3,2,128.301,121.4192,513.3009999999999,476.4192,False,True
A10_P03,A10,green,Green centreline,3,3,129.1695,123.8074,514.1695,478.80740000000003,False,True
