branch_id,truncation,scale,k,theta_outer,theta_outer_spec,theta_inner,p_outer,p_inner,tau_outer,tau_inner,transport_axis,transport_angle_rad,transported_tau_outer,dot_d,cross_norm_c,delta_s1_rad,delta_s1_deg,residual_r_s1,zero_tolerance_rad,state,image_pixel_data_used,technical_error
S1-PROSE-G30,AOG-PROSE,G30,0.5773502691896257,,theta_outer -> 0+ (exact analytic limit),9.42477796076938,"[1.0, 0.0, 0.0]","[-0.06114414770950192, 2.2463995433710346e-17, 0.9981289461792392]","[0.0, -0.5, -0.8660254037844387]","[-0.10511876402119794, 0.9944388261671256, -0.006439445783990199]","[0.0, -1.0, 2.2506105568524782e-17]",1.6319786377318368,"[0.8644050236438119, -0.5, 0.05295238520917673]",-0.5884255847964022,0.8085513781801451,2.1999065798058295,126.04536234593385,1.7823723431406817,1e-10,S1_DIRECTED_NOT_COMPATIBLE,False,
S1-PROSE-GHALF,AOG-PROSE,GHALF,0.5463024898437905,,theta_outer -> 0+ (exact analytic limit),9.42477796076938,"[1.0, 0.0, 0.0]","[-0.05786736220233532, 2.1260123968857143e-17, 0.9983242801774099]","[0.0, -0.479425538604203, -0.8775825618903728]","[-0.10515968328480034, 0.9944366674410802, -0.0060955278786196596]","[0.0, -1.0, 2.1295809779442662e-17]",1.628696033840603,"[0.8761119793954537, -0.47942553860420306, 0.05078338797136351]",-0.5691995447281042,0.8221994151550578,2.176328299867805,124.69442641730707,1.7715527340319874,1e-10,S1_DIRECTED_NOT_COMPATIBLE,False,
S1-DIAGRAM-G30,AOG-DIAGRAM,G30,0.5773502691896257,1.0,1.0,10.42477796076938,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.02987750726807621, -0.04653146061273484, 0.9984699082760038]","[0.9424148891056268, 0.06863905338196455, -0.3273268353539886]","[-0.8890725085665676, 0.4577360356170584, -0.005272210990604149]","[0.8414709848078964, -0.5403023058681398, 1.585310442634126e-17]",0.5789247564764534,"[0.9892619523773521, 0.14159903159874676, 0.03620088160316648]",-0.8149014849442257,0.5795994908863324,2.5233555305045834,144.5776221089075,1.9052041806295856,1e-10,S1_DIRECTED_NOT_COMPATIBLE,False,
S1-DIAGRAM-GHALF,AOG-DIAGRAM,GHALF,0.5463024898437905,1.0,1.0,10.42477796076938,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.02827532946459913, -0.04403621652532901, 0.9986297198550637]","[0.9452187336596601, 0.08099207119365641, -0.31623065939688716]","[-0.8890876811620606, 0.4577097249404188, -0.004990280637022606]","[0.8414709848078965, -0.5403023058681398, 9.91847502729343e-18]",0.5523563406657095,"[0.988358146229971, 0.1481777255677333, 0.03451863882641859]",-0.8110869240722856,0.5849256376659845,2.5168042811835494,144.2022631722743,1.9032009479150043,1e-10,S1_DIRECTED_NOT_COMPATIBLE,False,
