scope,segment_id,pair_count,angular_pearson_r,angular_signed_mean_diff_deg,angular_mean_abs_diff_deg,angular_rms_diff_deg,angular_p95_abs_diff_deg,angular_max_abs_diff_deg,chord_pearson_r,chord_signed_mean_diff_px,chord_mean_abs_diff_px,chord_rms_diff_px,chord_p95_abs_diff_px,chord_max_abs_diff_px
global,ALL,4010,0.98961518077355,1.10616876951421,4.66516450341382,6.56342290845213,14.7429759558665,20.1047789645706,0.989564268546228,2.2576090207,4.36608640519887,5.26656728824273,9.60995671602775,16.03776123758
segment,S01,401,0.937182531778145,12.2608997270611,12.5056995696885,13.6073188369998,19.3457721171786,20.1047789645706,0.928965669979582,6.34268895607958,6.53790694540974,7.13757530880011,10.2463815679675,10.6634006974789
segment,S02,401,0.975243200150617,-6.52125737582851,8.24389946375463,9.40600974786304,15.5328680075561,16.998054316509,0.97193465694278,2.55437611976298,3.33324758945462,3.82561917833868,6.8542218202267,7.298309943291
segment,S03,401,0.990587966190691,-4.29181307865336,4.80303338273439,5.86209158900241,9.78983933246962,10.8095203873461,0.952725731046461,1.89947223410501,2.68467362548425,3.41983918632946,6.20892169176013,7.01913959586747
segment,S04,401,-0.492888239169547,8.6295636764112,8.6295636764112,9.05279933036515,11.8829345313494,12.169134984062,-0.0740040031306772,7.04089940035879,7.04089940035879,7.38820994782808,9.7208210171324,9.967553630615
segment,S05,401,0.866003019171592,3.10751652180102,3.63718037604388,4.51634882396315,8.22320573166984,8.69372592419015,0.949760897469481,2.71166256907845,3.72337623643982,4.44191018918717,7.7061501311553,8.2135035005142
segment,S06,401,0.98707802298404,2.0426096262593,2.1032862667626,2.43572681238865,4.19500114653941,4.6188453656079,0.942974962782042,2.79540126888449,2.95376581744167,3.55401372353246,6.8571430941001,7.9005841679533
segment,S07,401,0.996199477240288,-0.599424258711986,2.14037949881829,2.54165501217697,5.22377457169636,5.46118194645867,0.989885060769862,-0.43073322803208,3.11268598104653,3.71169897574456,8.27347191388221,9.1596745768252
segment,S08,401,0.994866414400162,-0.332901809602428,1.35509746633042,1.59997540951278,3.26143436742873,4.12089706965695,0.966030741882828,0.121398657963452,1.92468775132609,2.37456237604478,4.32028850572669,5.13788411286109
segment,S09,401,0.999633873640706,-1.48346376268475,1.48346376268475,1.516495452844,1.90319318511324,1.92061347258843,0.999430203775888,4.28739723684807,4.28739723684807,4.40726066262608,5.6925591025926,5.7505639258462
segment,S10,401,0.999759642314669,-1.75004157090951,1.75004157090951,1.78490956487892,2.53721034870416,2.71308550811597,0.989775334254157,-4.7464730080487,8.06222346817914,8.62004862790309,14.640542437784,16.03776123758
