pass_number,segment_id,sample_count,weight_total,sse_weighted_rad2,sse_fraction,signed_mean_deg,median_abs_deg,rms_deg,p95_abs_deg,max_abs_deg,chord_rms_px,chord_p95_px
1,S01,401,23.3375229024208,10.8772316684182,0.0264720055465097,37.4978543919659,39.7141995357829,39.1160005039711,52.291096140929,55.0405142703441,20.3986508792551,26.8033492597679
1,S02,401,49.3566752728425,39.2902902023111,0.0956210929274809,-47.2359738199946,55.9524749051356,51.1201714830629,65.213820966125,65.7631207760127,25.5476643137251,31.4917293802695
1,S03,401,39.2217993006545,11.0783637409787,0.026961502277177,-27.7410666955634,34.285833168698,30.4506583138966,40.9017757190851,42.0140846656279,18.54931214727,24.3628017245293
1,S04,401,16.2584467079513,4.69933712356314,0.0114368142733484,30.788753453054,30.5494425518128,30.8035951890736,32.5670771498274,32.8578917834314,24.9971694333225,26.172421458726
1,S05,401,86.0830971066871,94.5020410280418,0.229990371678331,59.8265180827932,59.2224269683849,60.0322035266971,65.8244180495889,66.3023540717061,62.5125401927077,75.1222210151136
1,S06,401,117.140334637821,84.4995596065217,0.205647252791,47.9549453261322,46.8509450142101,48.6627474350697,64.2293414038042,65.9403066471408,65.4358568943113,78.385707910231
1,S07,401,142.405063021424,38.4897470180481,0.0936728045890465,-14.4066042263546,22.9847641032152,29.7873895863934,53.6526627193249,55.4765304219229,46.2781994959049,82.5344869008337
1,S08,401,133.722002979038,117.69440150762,0.286433804526657,-52.5841180831069,56.4436385143299,53.7525532683282,64.7864191264964,64.9495343354878,101.647408622736,109.604903378462
1,S09,401,22.4468101415991,3.16142002071331,0.00769397314264797,-21.3937086693491,21.4103678845474,21.5023741961189,24.8523396249813,25.3254889352774,66.3332182882609,73.5639770440857
1,S10,401,162.250822141811,6.60324835960567,0.0160703782478031,5.17543149011961,9.7173538235632,11.5586734767771,19.9597742409196,21.4869515105085,58.5036537831808,111.675894156067
2,S01,401,24.026337630406,6.28150651324813,0.0166210980360715,25.2369546649048,21.5498945392385,29.2961635697305,52.9403406375917,58.9611652733832,15.3623596391798,27.6256995867836
2,S02,401,49.3020100093645,27.7723734621366,0.0734867250451784,-40.7147164441661,42.3732195860273,43.0028082869057,56.3732045954328,57.354515585189,22.4261452602187,28.0453713618534
2,S03,401,41.748292165725,10.2659165043354,0.0271639939063681,-23.4492536169101,30.4438209393838,28.4120217983027,39.5462967669428,40.5387716010441,17.5002064217561,23.9097831619638
2,S04,401,16.4126692649191,2.47773059253182,0.0065561665817886,22.1591897766428,21.5900007398345,22.2617891438891,25.9724620647413,27.0914266913114,18.0654206391212,21.6457585604117
2,S05,401,87.8021123569257,87.152222068449,0.230607995710271,56.7190015609921,59.3657220597897,57.0833408324795,64.6109796331101,65.0403763352067,60.0222422928332,70.5007600434009
2,S06,401,115.505658344473,76.5513715011283,0.202557753913408,45.9123356998728,44.8537012782104,46.6441829931804,60.296238601153,61.8069622077328,62.6995098379355,73.6486741301527
2,S07,401,143.901646701211,40.1803410198482,0.106318665085383,-13.8071799676426,21.7543859842838,30.2758649790624,55.2352750962412,58.419403406027,47.0986515955289,84.9371070915135
2,S08,401,132.808329874817,116.447779321083,0.308125121274085,-52.2512162735045,54.9294158185155,53.6507231595136,65.858002512603,66.0488759469136,101.61642443524,109.5308593799
2,S09,401,23.3599661841586,2.86417780787347,0.00757872017437239,-19.9102449066644,19.9193609714167,20.0625676996573,23.8118756995252,24.305690208025,62.1426445914589,70.6909971934124
2,S10,401,162.361940030458,7.9302598746303,0.0209837602730744,6.92547306102912,10.1390610574574,12.6626390114276,22.4969845896238,24.2000370186245,65.2780177227062,126.316436593851
