pass_number,segment_id,weighting,segment_length_px,rho_min,rho_max,count_rho_le_zero,count_rho_ge_one,angular_median_abs_deg,angular_rms_deg,angular_p95_abs_deg,angular_max_abs_deg,chord_median_px,chord_rms_px,chord_p95_px,chord_max_px
1,S01,length,23.3375229024209,0.0889503078889421,0.0904337016018317,0,0,39.714199535783,39.1160005039711,52.291096140929,55.0405142703441,20.9172341342458,20.398650879255,26.8033492597679,28.1326787349857
1,S02,length,49.3566752728425,0.0837713887840164,0.0998172608943769,0,0,55.9524749051356,51.1201714830629,65.2138209661247,65.7631207760125,28.6958802702703,25.5476643137251,31.4917293802695,31.768228727303
1,S03,length,39.2217993006545,0.0990835919323109,0.121336094151675,0,0,34.285833168698,30.4506583138966,40.9017757190851,42.0140846656279,21.399211817365,18.54931214727,24.3628017245293,24.9356854503243
1,S04,length,16.2584467079513,0.133376944916041,0.14071742358229,0,0,30.5494425518128,30.8035951890736,32.5670771498274,32.8578917834314,24.9357212116257,24.9971694333225,26.172421458726,26.4421110740545
1,S05,length,86.0830971066872,0.151882839633495,0.207447590688842,0,0,59.222426968385,60.0322035266971,65.8244180495887,66.3023540717062,60.4227306745929,62.5125401927077,75.1222210151136,76.8294951025204
1,S06,length,117.140334637821,0.213193318694581,0.267131376580785,0,0,46.8509450142101,48.6627474350697,64.2293414038043,65.9403066471406,64.2404691860708,65.4358568943113,78.385707910231,79.7346320098728
1,S07,length,142.405063021423,0.262662590895469,0.270846071155121,0,0,22.9847641032152,29.7873895863934,53.6526627193249,55.4765304219228,36.406052154005,46.2781994959049,82.5344869008337,86.2019797795273
1,S08,length,133.722002979038,0.271995525550516,0.463882754142163,0,0,56.4436385143299,53.7525532683282,64.7864191264963,64.9495343354877,103.371811945923,101.647408622736,109.604903378462,110.03593967277
1,S09,length,22.4468101415991,0.497245011175231,0.548583833680511,0,0,21.4103678845475,21.5023741961189,24.8523396249813,25.3254889352774,66.384756867979,66.3332182882609,73.5639770440857,74.5369675965053
1,S10,length,162.250822141811,0.569176789769766,0.963139650284103,0,0,9.71735382356321,11.5586734767771,19.9597742409196,21.4869515105086,40.3388136393629,58.5036537831808,111.675894156067,122.772414972595
1,S01,equal_segment,23.3375229024209,0.0889503078889421,0.0904337016018317,0,0,36.7755025836225,36.2980839592037,49.3228522345814,52.0745941843834,19.4251962569245,18.9806998143992,25.3801567642986,26.7258651495677
1,S02,equal_segment,49.3566752728425,0.0837713887840164,0.0998172608943769,0,0,58.8578775632606,53.9090386467135,68.2892213159917,68.868375763884,30.0971558861926,26.8349000212713,32.8008890625573,33.0922103366861
1,S03,equal_segment,39.2217993006545,0.0990835919323109,0.121336094151675,0,0,36.8619949148677,32.8377430257792,43.5552835194028,44.6789174926048,22.9434095860033,19.9914362009236,25.8706973374477,26.4388931360204
1,S04,equal_segment,16.2584467079513,0.133376944916041,0.14071742358229,0,0,28.4303427287839,28.6939281808884,30.4459025581802,30.7366849981331,23.253814266771,23.3224125269984,24.507901081108,24.7776943633028
1,S05,equal_segment,86.0830971066872,0.151882839633495,0.207447590688842,0,0,57.4771019357881,58.2993675071467,64.2126856645898,64.6718611644733,58.7965221169727,60.9121389295274,73.4798962552875,75.1916025372334
1,S06,equal_segment,117.140334637821,0.213193318694581,0.267131376580785,0,0,45.4076437850183,47.2309647129624,62.6951701603018,64.3943405409096,62.3679349038985,63.5895729697556,76.7067315471902,78.0709278440489
1,S07,equal_segment,142.405063021423,0.262662590895469,0.270846071155121,0,0,22.8803535495204,30.4567140594762,54.9843320085782,56.7974917536535,36.3371125663532,47.2465006552283,84.4254671920303,88.0858602026524
1,S08,equal_segment,133.722002979038,0.271995525550516,0.463882754142163,0,0,57.5970695866674,54.8980135541719,66.0499998084111,66.2174639451084,105.329259493375,103.721049784183,111.580368777167,111.981774283901
1,S09,equal_segment,22.4468101415991,0.497245011175231,0.548583833680511,0,0,22.2987269448791,22.3879453045647,25.7640220453212,26.2400617339812,69.1050445295768,69.0438361743019,76.2177954916509,77.1823313642909
