log10_k_x,k_x,r_x,plus_frozen_yaxis_normal_residual_deg,minus_frozen_yaxis_normal_residual_deg
-3.000000000000,0.001,1000,52.181005175642,52.283484445276
-2.995000000000,0.001011579454259898,988.5530946569392,52.180411952668,52.284077875286
-2.990000000000,0.001023292992280754,977.2372209558113,52.179811861726,52.284678178087
-2.985000000000,0.001035142166679344,966.0508789898131,52.179204823319,52.285285433288
-2.980000000000,0.0010471285480509,954.9925860214358,52.178590757026,52.285899721424
-2.975000000000,0.001059253725177289,944.0608762859235,52.177969581501,52.286521123960
-2.970000000000,0.001071519305237606,933.2543007969914,52.177341214452,52.287149723308
-2.965000000000,0.001083926914021204,922.5714271547629,52.176705572638,52.287785602831
-2.960000000000,0.001096478196143185,912.0108393559096,52.176062571854,52.288428846863
-2.955000000000,0.001109174815262401,901.571137605957,52.175412126918,52.289079540711
-2.950000000000,0.001122018454301963,891.2509381337459,52.174754151667,52.289737770672
-2.945000000000,0.001135010815672315,881.0488730080139,52.174088558938,52.290403624045
-2.940000000000,0.001148153621496883,870.9635899560806,52.173415260561,52.291077189137
-2.935000000000,0.001161448613840343,860.9937521846008,52.172734167345,52.291758555280
-2.930000000000,0.001174897554939529,851.1380382023768,52.172045189066,52.292447812843
-2.925000000000,0.001188502227437019,841.3951416451947,52.171348234459,52.293145053240
-2.920000000000,0.001202264434617413,831.7637711026709,52.170643211202,52.293850368944
-2.915000000000,0.001216186000646368,822.2426499470712,52.169930025903,52.294563853502
-2.910000000000,0.001230268770812381,812.8305161640994,52.169208584092,52.295285601543
-2.905000000000,0.001244514611771386,803.5261221856168,52.168478790204,52.296015708793
-2.900000000000,0.001258925411794167,794.3282347242813,52.167740547570,52.296754272088
-2.895000000000,0.001273503081016662,785.2356346100719,52.166993758403,52.297501389386
-2.890000000000,0.001288249551693134,776.247116628692,52.166238323782,52.298257159781
-2.885000000000,0.0013031667784523,767.3614893618186,52.165474143645,52.299021683513
-2.880000000000,0.001318256738556408,758.5775750291835,52.164701116770,52.299795061986
-2.875000000000,0.001333521432163324,749.8942093324558,52.163919140765,52.300577397780
-2.870000000000,0.001348962882591653,741.3102413009177,52.163128112053,52.301368794660
-2.865000000000,0.001364583136588924,732.8245331389044,52.162327925860,52.302169357598
-2.860000000000,0.001380384264602885,724.4359600749898,52.161518476198,52.302979192780
-2.855000000000,0.001396368361055938,716.143410212902,52.160699655855,52.303798407623
-2.850000000000,0.001412537544622754,707.9457843841381,52.159871356377,52.304627110790
-2.845000000000,0.001428893958511102,699.8419960022738,52.159033468057,52.305465412203
-2.840000000000,0.001445439770745928,691.8309709189363,52.158185879918,52.306313423056
-2.835000000000,0.001462177174456718,683.9116472814293,52.157328479699,52.307171255836
-2.830000000000,0.001479108388168207,676.0829753919819,52.156461153842,52.308039024329
-2.825000000000,0.001496235656094433,668.3439175686149,52.155583787474,52.308916843644
-2.820000000000,0.001513561248436209,660.6934480075957,52.154696264393,52.309804830222
-2.815000000000,0.00153108746168203,653.1305526474723,52.153798467055,52.310703101854
-2.810000000000,0.001548816618912481,645.6542290346556,52.152890276554,52.311611777696
-2.805000000000,0.001566751070108149,638.2634861905489,52.151971572610,52.312530978286
-2.800000000000,0.001584893192461114,630.957344480193,52.151042233552,52.313460825558
-2.795000000000,0.001603245390690042,623.7348354824192,52.150102136301,52.314401442861
-2.790000000000,0.00162181009735893,616.5950018614823,52.149151156355,52.315352954974
-2.785000000000,0.001640589773199539,609.5368972401694,52.148189167772,52.316315488119
-2.780000000000,0.001659586907437561,602.5595860743575,52.147216043152,52.317289169985
-2.775000000000,0.001678804018122561,595.6621435290103,52.146231653624,52.318274129739
-2.770000000000,0.001698243652461744,588.843655355589,52.145235868825,52.319270498047
-2.765000000000,0.001717908387157588,582.1032177708715,52.144228556885,52.320278407088
-2.760000000000,0.001737800828749376,575.4399373371567,52.143209584408,52.321297990573
-2.755000000000,0.001757923613958693,568.8529308438412,52.142178816456,52.322329383766
-2.750000000000,0.001778279410038923,562.3413251903492,52.141136116530,52.323372723496
-2.745000000000,0.001798870915128787,555.9042572704037,52.140081346554,52.324428148180
-2.740000000000,0.001819700858609983,549.5408738576248,52.139014366854,52.325495797838
-2.735000000000,0.001840772001468956,543.250331492433,52.137935036140,52.326575814114
-2.730000000000,0.001862087136662868,537.0317963702527,52.136843211490,52.327668340296
-2.725000000000,0.0018836490894898,530.8844442309885,52.135738748328,52.328773521331
-2.720000000000,0.001905460717963248,524.8074602497724,52.134621500407,52.329891503846
-2.715000000000,0.001927524913190937,518.8000389289609,52.133491319788,52.331022436170
-2.710000000000,0.001949844599758046,512.8613839913647,52.132348056822,52.332166468351
-2.705000000000,0.001972422736114853,506.9907082747045,52.131191560130,52.333323752175
-2.700000000000,0.001995262314968879,501.1872336272725,52.130021676581,52.334494441191
-2.695000000000,0.002018366363681562,495.4501908047901,52.128838251276,52.335678690724
-2.690000000000,0.00204173794466953,489.7788193684461,52.127641127522,52.336876657905
-2.685000000000,0.002065380155810529,484.1723675840993,52.126430146818,52.338088501682
-2.680000000000,0.002089296130854039,478.6300923226386,52.125205148827,52.339314382850
-2.675000000000,0.002113489039836648,473.1512589614803,52.123965971360,52.340554464066
-2.670000000000,0.002137962089502233,467.7351412871981,52.122712450352,52.341808909873
-2.665000000000,0.00216271852372702,462.3810213992603,52.121444419843,52.343077886724
-2.660000000000,0.002187761623949552,457.0881896148751,52.120161711951,52.344361563000
-2.655000000000,0.002213094709605639,451.8559443749222,52.118864156857,52.345660109035
-2.650000000000,0.00223872113856834,446.6835921509631,52.117551582777,52.346973697138
-2.645000000000,0.00226464430759306,441.5704473533125,52.116223815940,52.348302501617
-2.640000000000,0.002290867652767772,436.5158322401661,52.114880680569,52.349646698802
-2.635000000000,0.00231739464996848,431.519076827765,52.113521998852,52.351006467064
-2.630000000000,0.002344228815319923,426.5795188015926,52.112147590923,52.352381986847
-2.625000000000,0.002371373705661655,421.6965034285822,52.110757274838,52.353773440685
