retrieval_date,source_role,audit_role,canonical_url,final_url,status,media_type,byte_count,sha256,technical_detail,snapshot_filename,snapshot_policy
2026-07-29,official_page,official source page,https://www.meru.org/compuimages/3-10knot.html,https://www.meru.org/compuimages/3-10knot.html,retrieved,text/html,14478,957714d2540fe71988f39dfc64fa995aa74a01aafc1e43c8f7a493c245c289dc,retrieved official HTML page,794d9fee91_3-10knot.html,local untracked third-party research copy
2026-07-29,official_page,official source page,https://www.meru.org/compuimages/animatedgif.html,https://www.meru.org/compuimages/animatedgif.html,retrieved,text/html,21181,0f3d46f74445bd0f0828349166ca539ab27678e706e73f91d3a983fa694deb2d,retrieved official HTML page,e3e6418a0a_animatedgif.html,local untracked third-party research copy
2026-07-29,official_page,official source page,https://www.meru.org/compuimages/animations.html,https://www.meru.org/compuimages/animations.html,retrieved,text/html,18357,1d68b1bdd7fa74bd1107635eb7b5b2c096123594d8ed370d807703b7c979e9d7,retrieved official HTML page,b933b9cf35_animations.html,local untracked third-party research copy
2026-07-29,rotation_animation,rotating rendered animation,https://www.meru.org/compuimages/tumble.gif,https://www.meru.org/compuimages/tumble.gif,retrieved,image/gif,957858,a61a01353d51d3c09bc57b8c5f13d4923a5f020d7dd35f33b466e2b282ea3303,GIF 320x240; 96 frames,e9bad826ce_tumble.gif,local untracked third-party research copy
2026-07-29,native_3d_asset,companion native 3-D model candidate,https://www.meru.org/compuimages/1_3-3_1B.wrl,https://www.meru.org/compuimages/1_3-3_1B.wrl,retrieved,model/vrml,198807,82833c46baddc1b6709a7ff9b7e9c81692203eed7cda63d5b9792dd9ac42ba3a,#VRML V2.0 utf8,8e80681f13_1_3-3_1B.wrl,local untracked third-party research copy
2026-07-29,native_3d_asset,primary native 3-D model candidate,https://www.meru.org/compuimages/10_3.wrl,https://www.meru.org/compuimages/10_3.wrl,retrieved,model/vrml,429161,855c46cfeeb31e4394b7a4a294b397aac4cbc14154e172a326e33243dd9e384b,#VRML V2.0 utf8,f24de4a08a_10_3.wrl,local untracked third-party research copy
