crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,segment_id,sequence_index,x_px,y_px,local_stroke_width_px,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S02,0,1181.75520727,581.071085122,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; started beyond the curve between the upper interior crossing node and the UCLL node and stopped before the top spiral curve,2026-07-31T20:04:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S02,1,1184.49080557,586.254324015,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; started beyond the curve between the upper interior crossing node and the UCLL node and stopped before the top spiral curve,2026-07-31T20:04:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S02,2,1188.09027702,592.157457199,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; started beyond the curve between the upper interior crossing node and the UCLL node and stopped before the top spiral curve,2026-07-31T20:04:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S02,3,1193.84943135,601.228125262,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; started beyond the curve between the upper interior crossing node and the UCLL node and stopped before the top spiral curve,2026-07-31T20:04:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S02,4,1196.87298737,607.707173879,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; started beyond the curve between the upper interior crossing node and the UCLL node and stopped before the top spiral curve,2026-07-31T20:04:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,0,1210.64224186,633.20142303,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,1,1213.58726396,637.346268947,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,2,1215.98691159,639.418691905,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,3,1219.47730815,645.417810994,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S03,4,1222.31325536,648.908207555,2,printed curve labelled y=0 (x-axis),last dashed back-hemisphere run; segment between two spiral curves,2026-07-31T20:07:04Z
